"","itweet"
"id 0","anyone"
"id 0","feel"
"id 0","like"
"id 0","looking"
"id 0","list"
"id 0","invited"
"id 0","talk"
"id 0","#jmm2020"
"id 0","see"
"id 0","#"
"id 0","nonmen"
"id 0","lgbtq"
"id 0","poc"
"id 0","giving"
"id 0","help"
"id 0","#disruptjmm"
"id 0","bit"
"id 0","talk"
"id 0","sure"
"id 0","time"
"id 1","think"
"id 1","right"
"id 1","speech"
"id 1","important"
"id 1","another"
"id 1","human"
"id 1","worth"
"id 1","dignity"
"id 1","might"
"id 1","want"
"id 1","rethink"
"id 1","stance"
"id 1","user308"
"id 1","diversity"
"id 1","statement"
"id 1","editorial"
"id 1","letter"
"id 1","#disruptjmm"
"id 1","user10"
"id 1","#jmm2020"
"id 1","proud"
"id 1","community"
"id 2","ran"
"id 2","elevation"
"id 2","make"
"id 2","user308"
"id 2","#disruptjmm"
"id 2","moment"
"id 2","talk"
"id 2","well"
"id 2","worth"
"id 2","now"
"id 2","im"
"id 2","dead"
"id 3","user172"
"id 3","user308"
"id 3","user36"
"id 3","#disruptjmm"
"id 3","go"
"id 3","user308"
"id 4","user308"
"id 4","user36"
"id 4","let"
"id 4","get"
"id 4","#disruptjmm"
"id 4","folk"
"id 4","support"
"id 5","im"
"id 5","#disruptjmm"
"id 5","small"
"id 5","way"
"id 5","beginning"
"id 5","talk"
"id 5","im"
"id 5","nervou"
"id 5","im"
"id 5","mildly"
"id 5","nauseou"
"id 5","sweating"
"id 5","thank"
"id 5","user36"
"id 5","other"
"id 5","put"
"id 5","selve"
"id 5","bodie"
"id 5","line"
"id 5","work"
"id 5","justice"
"id 5","math"
"id 5","incredibly"
"id 5","difficult"
"id 6","emerald"
"id 6","stacy"
"id 6","start"
"id 6","land"
"id 6","acknowledgment"
"id 6","fact"
"id 6","8"
"id 6","11270"
"id 6","math"
"id 6","stat"
"id 6","phd"
"id 6","awarded"
"id 6","people"
"id 6","identify"
"id 6","american"
"id 6","indian"
"id 6","alaska"
"id 6","native"
"id 6","#jmm2020"
"id 6","#disruptjmm"
"id 7","im"
"id 7","sorry"
"id 7","mis"
"id 7","day"
"id 7","visiting"
"id 7","event"
"id 7","#disruptjmm"
"id 7","need"
"id 7","get"
"id 7","back"
"id 7","meeting"
"id 7","family"
"id 7","thank"
"id 7","great"
"id 7","experience"
"id 7","#awkwardboardingselfie"
"id 7","maybe"
"id 7","mural"
"id 7","den"
"id 7","count"
"id 7","denver"
"id 7","selfie"
"id 7","#noticeandwonder"
"id 7","#jmm2020"
"id 8","seriosly"
"id 8","taking"
"id 8","picture"
"id 8","accurately"
"id 8","succinctly"
"id 8","summarizing"
"id 8","important"
"id 8","key"
"id 8","point"
"id 8","appropriate"
"id 8","tag"
"id 8","task"
"id 8","take"
"id 8","amazing"
"id 8","skill"
"id 8","love"
"id 8","thank"
"id 8","much"
"id 8","session"
"id 8","everyone"
"id 8","live"
"id 8","tweet"
"id 8","academic"
"id 8","talk"
"id 8","#jmm2020"
"id 8","#disruptjmm"
"id 9","calling"
"id 9","bull"
"id 9","r"
"id 9","talk"
"id 9","today"
"id 9","thursday"
"id 9","600"
"id 9","pm650"
"id 9","pm"
"id 9","sigmaa"
"id 9","quantitative"
"id 9","literacy"
"id 9","sigmaa"
"id 9","ql"
"id 9","meeting"
"id 9","room"
"id 9","501"
"id 9","ccc"
"id 9","user10"
"id 9","#jointmath"
"id 9","#disruptjmm"
"id 10","anyone"
"id 10","user10"
"id 10","working"
"id 10","#disruptjmm"
"id 10","become"
"id 10","free"
"id 10","member"
"id 10","institute"
"id 10","quantitative"
"id 10","study"
"id 10","inclusion"
"id 10","diversity"
"id 10","equity"
"id 10","use"
"id 10","quant"
"id 10","tool"
"id 10","discover"
"id 10","impact"
"id 10","scope"
"id 10","injustice"
"id 10","build"
"id 10","solution"
"id 10","remedy"
"id 11","youre"
"id 11","#jmm2020"
"id 11","come"
"id 11","panel"
"id 11","supporting"
"id 11","tran"
"id 11","nonbinary"
"id 11","math"
"id 11","student"
"id 11","saturday"
"id 11","morning"
"id 11","#disruptjmm"
"id 12","another"
"id 12","cengage"
"id 12","email"
"id 12","omg"
"id 12","user173"
"id 12","#jmm2020"
"id 12","can"
"id 12","#disruptjmm"
"id 12","glaring"
"id 12","cengage"
"id 12","unsubscribe"
"id 12","repeatedly"
"id 12","formally"
"id 12","requested"
"id 13","user102"
"id 13","thank"
"id 13","sharing"
"id 13","morning"
"id 13","definitely"
"id 13","challenged"
"id 13","think"
"id 13","inclusion"
"id 13","mean"
"id 13","different"
"id 13","way"
"id 13","appreciate"
"id 13","challenge"
"id 13","take"
"id 13","home"
"id 13","thank"
"id 13","opportunity"
"id 13","#disruptjmm"
"id 14","#disruptjmm"
"id 14","flash"
"id 14","hangout"
"id 14","dinner"
"id 14","stout"
"id 14","street"
"id 14","social"
"id 14","6"
"id 14","come"
"id 14","hang"
"id 14","user250"
"id 14","user279"
"id 14","user76"
"id 14","et"
"id 14","al"
"id 15","#disruptjmm"
"id 15","ppl"
"id 15","wanna"
"id 15","hang"
"id 15","rn"
"id 16","user102"
"id 16","said"
"id 16","morning"
"id 16","important"
"id 16","interesting"
"id 16","almost"
"id 16","napped"
"id 16","instead"
"id 16","need"
"id 16","nap"
"id 16","can"
"id 16","say"
"id 16","takeaway"
