User Name,Display Name,In JMM 2020 Program?,In JMM 2021 Program,Too anonymous to determine,Organization
mathyadriana,Dr. Adriana Salerno Domínguez 🇻🇪,TRUE,FALSE,FALSE,FALSE
VictorPiercey1,Victor Piercey,TRUE,FALSE,FALSE,FALSE
wizard2048,arthur harris,FALSE,FALSE,FALSE,FALSE
WanderingPoint,Dr. Wandering Point,FALSE,FALSE,TRUE,FALSE
mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
pwr2dppl,DR. ABOLISH THE POLICE,FALSE,FALSE,TRUE,FALSE
xl772,Prof. Christelle Vincent,TRUE,FALSE,FALSE,FALSE
kmkinnaird,Dr. Katherine M. Kinnaird,FALSE,FALSE,FALSE,FALSE
PhilChodrow,Dr. Phil Chodrow,FALSE,FALSE,FALSE,FALSE
CeritDr,Dr. Judith Cerit 🇲🇽🇹🇷🇩🇪,FALSE,FALSE,FALSE,FALSE
fra_berni,"Francesca Bernardi, Ph.D.",TRUE,FALSE,FALSE,FALSE
LoboWithACause,Dr. Belin Tsinnajinnie,TRUE,FALSE,FALSE,FALSE
MiraWaddle,Meerkat,FALSE,FALSE,TRUE,FALSE
VRiveraQPhD,"Vanessa Rivera Quiñones, PhD",FALSE,FALSE,FALSE,FALSE
JoFerMedina,Johann Medina,FALSE,FALSE,FALSE,FALSE
JointMath,Joint Mathematics Meetings,FALSE,FALSE,FALSE,TRUE
shivfesta,Shiv Karunakaran,TRUE,FALSE,FALSE,FALSE
MarissaKawehi,Dr. Marissa Kawehi Loving,FALSE,FALSE,FALSE,FALSE
TyLKelly,Tyler Kelly,FALSE,FALSE,FALSE,FALSE
MerGreer,Meredith Greer,FALSE,FALSE,FALSE,FALSE
qsideinstitute,qside,FALSE,FALSE,FALSE,TRUE
sbagley,Dr Spencer Bagley 🎃🍂🏳️‍🌈,TRUE,FALSE,FALSE,FALSE
numberdance,Jessie Oehrlein,TRUE,FALSE,FALSE,FALSE
frontLahn,Max Lahn,FALSE,FALSE,FALSE,FALSE
vindas_melendez,Andrés R. Vindas Meléndez,FALSE,FALSE,FALSE,FALSE
RachelleDeCoste,Dr Rachelle DeCoste,FALSE,FALSE,FALSE,FALSE
mathmodeling,Maria Hernandez,FALSE,FALSE,FALSE,FALSE
jajensen681,Dr. Jacqueline Jensen-Vallin,TRUE,FALSE,FALSE,FALSE
joshlaison,Dr. Josh Laison,TRUE,FALSE,FALSE,FALSE
Enchilaudanum,Keith Jones,FALSE,FALSE,FALSE,FALSE
algebrandis,ε-thicc,FALSE,FALSE,TRUE,FALSE
monsoon0,Nalini Joshi,TRUE,FALSE,FALSE,FALSE
elizabethmunch,Dr. Liz Munch,TRUE,FALSE,FALSE,FALSE
benjamindickman,Benjamin Dickman,FALSE,FALSE,FALSE,FALSE
MBarany,Michael J Barany,FALSE,FALSE,FALSE,FALSE
HthrLynnJ,Dr. Heather Lynn Johnson,FALSE,FALSE,FALSE,FALSE
DingleTeach,Marian Dingle,FALSE,FALSE,FALSE,FALSE
thewordninja_bk,Brian Katz (BK),TRUE,FALSE,FALSE,FALSE
sunstoneUU,Ebony C. Peace,FALSE,FALSE,FALSE,FALSE
mmcdermo,Dr. Moira McDermott,FALSE,FALSE,FALSE,FALSE
QuantumP7,Mathy McScientist 👽,FALSE,FALSE,TRUE,FALSE
mathdr91,Robert W. Vallin,TRUE,FALSE,FALSE,FALSE
HeyHeresSteve,"Hey, Here's...A SKEeEeEeLeEeEeTON!!!1!",FALSE,FALSE,TRUE,FALSE
MattBoelkins,Matt Boelkins,TRUE,FALSE,FALSE,FALSE
samit_dasgupta,Samit Dasgupta,FALSE,FALSE,FALSE,FALSE
QCohBeef,QC,FALSE,FALSE,TRUE,FALSE
RyneVanK,Ryne VanKrevelen,FALSE,FALSE,FALSE,FALSE
matthematician,Matt Salomone,FALSE,FALSE,FALSE,FALSE
katemath,Dr. Kate Owens,FALSE,FALSE,FALSE,FALSE
DeirdreM10,Deirdre,FALSE,FALSE,TRUE,FALSE
maryepilgrim,Dr. Mary Pilgrim,FALSE,FALSE,FALSE,FALSE
jessalynalyn,Jessalyn,FALSE,FALSE,TRUE,FALSE
rhondajohughes,Rhonda Hughes,FALSE,FALSE,FALSE,FALSE
Miles_Ott,Miles Ott 🏳️‍⚧️ (he/him),FALSE,FALSE,FALSE,FALSE
siwelwerd,Drew Lewis,FALSE,FALSE,FALSE,FALSE
AlbertTLunde,Albert Lunde,FALSE,FALSE,FALSE,FALSE
drspoulsen,Dylan Poulsen,FALSE,FALSE,FALSE,FALSE
DrMRLD,Dr. Emerald Stacy 🏳️‍🌈,TRUE,FALSE,FALSE,FALSE
MathmoClaire,Dr Claire Postlethwaite,FALSE,FALSE,FALSE,FALSE
mathillustrated,Ralph Pantozzi,FALSE,FALSE,FALSE,FALSE
logicians,Philosophical Logic,FALSE,FALSE,TRUE,FALSE
joshuagrochow,Joshua Grochow,FALSE,FALSE,FALSE,FALSE
twistor,𝕋𝕎𝕀𝕊𝕋𝕆ℝ «重力の影»,FALSE,FALSE,TRUE,FALSE
AuroraBirdialis,The Nikkibird,FALSE,FALSE,TRUE,FALSE
arsuaga3,Mariel Vazquez,FALSE,FALSE,FALSE,FALSE
DrHenryGarrett,Dr. Henry Garrett,FALSE,FALSE,FALSE,FALSE
mathzorro,Christopher Hanusa,FALSE,FALSE,FALSE,FALSE
Doc_Kat,👻🕳 (spectral gap),FALSE,FALSE,TRUE,FALSE
bat_scholar,Dr. bat,FALSE,FALSE,TRUE,FALSE
ilaba,Dr. Izabella Laba,FALSE,FALSE,FALSE,FALSE
AnnClifton9,Ann Clifton,FALSE,FALSE,FALSE,FALSE
j_lanier,Justin Lanier,FALSE,FALSE,FALSE,FALSE
jacksonmorris_,Jackson,FALSE,FALSE,FALSE,FALSE
jensilvermath,Jen Silverman,FALSE,FALSE,FALSE,FALSE
twonth,Paul Pollack,FALSE,FALSE,FALSE,FALSE
davewripley,Dave Ripley,FALSE,FALSE,FALSE,FALSE
ProfNoodlearms,TJ Hitchman,FALSE,FALSE,FALSE,FALSE
KJMDPhD,Kyle Dahlin,FALSE,FALSE,FALSE,FALSE
AbsurdistPedant,Absurdist,FALSE,FALSE,TRUE,FALSE
dagan_karp,Dagan Karp,FALSE,FALSE,FALSE,FALSE
ash_wee_k,Ashwee K,FALSE,FALSE,TRUE,FALSE
RubenAMartinezA,Rubén A. Martínez A. 🚂💙,FALSE,FALSE,FALSE,FALSE
bmgilland,Brett Gilland,FALSE,FALSE,FALSE,FALSE
