,Unnamed: 0,tweet_id,user_username,text,created_at,conversation_id,in_reply_to_user_id,user_verified,retweet_count,like_count,quote_count,sourcetweet_type,sourcetweet_id,sourcetweet_text,Code,sourcetweet_author_id,Self-organization,SO code,Building community,BC code,Broadening the counterpublic,BtC code,Creating change in math,CCM code,SJEDI,SJEDI code,CODER,all codes,At JMM 2020,At JMM 2021,Anonymous,Organization,bipoc,gender,lgbtq,talk support,amplification,influencers,representation,thankful,emotional support,BC impact,SO impact,hashtags,indigenous,advocacy,CC impact,SJEDI impact,belonging,learning,virtual participation,power,math practice,strategic planning,conversation,humanize,allyship in math,math experience,jmm experience,futures,disrupteverything,economic,activation,current events,celebration,troll,beyond,Receiver,date,Pre JMM 2020,JMM 2020,Inter JMM,JMM 2021,Post JMMs
0,1,2797308789952066,user250,"Anyone feel like looking through the list of invited talks at #JMM2020 and see the # of nonmen, lgbtq, and poc giving these? It will help with my #disruptJMM bit in my talk, but not sure i have time!",2020-01-16T17:09:55.000Z,2797308789952066,NA,False,3,16,0,NA,NA,NA,,NA,0,,1,talk support,0,,0,,1,bipoc; lgbtq; gender,DL,bipoc;gender;lgbtq;talk support,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2020-01-16,False,True,False,False,False
1,5,7576420069918677,user266,"""If you think that your right to speech is more important than another human's worth and dignity, then you might want to rethink your stance."" user308 on diversity statement editorial letters. #disruptJMM user10 #JMM2020 

So proud of my community!!!",2020-01-16T17:08:04.000Z,7576420069918677,NA,False,14,56,1,NA,NA,NA,,NA,1,amplification,1,talk support,1,influencers,0,,1,representation,RR,amplification;influencers;representation;talk support,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2020-01-16,False,True,False,False,False
2,8,7614566608661285,user36,I ran at elevation to make it to user308 s #DisruptJMM moment in her talk and it was well worth it but now I'm dead.,2020-01-16T17:05:46.000Z,7614566608661285,NA,False,1,12,0,NA,NA,NA,,NA,1,amplification,1,talk support; thankful,0,,0,,0,,JH,amplification;talk support;thankful,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2020-01-16,False,True,False,False,False
3,9,1664231928238167,user266,user172 user308 user36 Here!!! #disruptJMM you go user308,2020-01-16T17:02:17.000Z,8314304740521540,2932698781,False,0,3,0,NA,NA,NA,,NA,0,,1,talk support; emotional support,0,,0,,0,,DL,emotional support;talk support,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,user172,2020-01-16,False,True,False,False,False
4,10,1217289315412790,user266,user308 user36 Where and what? - let's get the #disruptJMM folks to support!,2020-01-16T16:53:06.000Z,8314304740521540,1260729972,False,0,5,0,NA,NA,NA,,NA,0,,1,BC impact; talk support,0,,0,,0,,RR,BC impact;talk support,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,user308,2020-01-16,False,True,False,False,False
5,12,8314304740521540,user308,"I’m about to #DisruptJMM in a very small way at the beginning of my talk and I’m so nervous. I’m mildly nauseous and sweating...

We have to thank user36 and others who put their selves and their bodies on the line to work to further justice in math. It’s incredibly difficult.",2020-01-16T16:46:36.000Z,8314304740521540,NA,False,5,61,3,NA,NA,NA,,NA,1,amplification; SO impact,1,talk support; thankful,1,influencers,0,,0,,JH,SO impact;amplification;influencers;talk support;thankful,True,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2020-01-16,False,True,False,False,False
6,18,6779759399447038,user172,"Emerald Stacy starts with a land acknowledgment and the fact that 8 out of 11,270 math &amp; stats PhD’s were awarded to people who identify as “American Indian or Alaska Native” #JMM2020 #disruptJMM https://t.co/wXcxBorAG3",2020-01-16T15:36:37.000Z,6779759399447038,NA,False,11,37,0,NA,NA,NA,,NA,1,amplification,1,talk support,1,hashtags,0,,1,indigenous,DL,amplification;hashtags;indigenous;talk support,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2020-01-16,False,True,False,False,False
7,19,3565858344047735,user102,I’m sorry to miss more days of visiting and events at #DisruptJMM but I need to get back to meetings and family. Thank you all for a great experience! No #AwkwardBoardingSelfie but maybe this mural at DEN counts as a Denver selfie. What do you #NoticeAndWonder? #JMM2020 https://t.co/6HApFHHCLT,2020-01-16T15:36:37.000Z,3565858344047735,NA,False,2,17,1,NA,NA,NA,,NA,0,,1,BC impact; thankful,1,hashtags,0,,0,,RR,BC impact;hashtags;thankful,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2020-01-16,False,True,False,False,False
8,21,4834993960620071,user102,"Seriosly, taking pictures while accurately and succinctly summarizing important and key points with appropriate tags is task that takes amazing skill and love! Thank you all so much not only for my session, but for everyone who live tweets academic talks! #JMM2020 #DisruptJMM https://t.co/90hOQ3ozEf",2020-01-16T14:14:35.000Z,4834993960620071,NA,False,0,9,0,quoted,1217492198545031169,Very happy for folks like user250 user70 user212 user36 user216 and others for live tweeting user102 s talk at #JMM! Thanks everyone and please keep sharing the #DisruptJMM content for all of us who aren't there!!!,"live academic tweeting, supporting others",969876723922808832,1,amplification,1,talk support; thankful,0,,0,,0,,JH,amplification;talk support;thankful,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2020-01-16,False,True,False,False,False
9,52,6824820771662045,user266,"My Calling Bull (with R) talk will be TODAY (Thursday), 6:00 p.m.-6:50 p.m at the SIGMAA on Quantitative Literacy (SIGMAA QL) Meeting in Room 501 CCC. user10 #JointMath
https://t.co/ECkhd7j6Oi #DisruptJMM",2020-01-16T11:21:59.000Z,6824820771662045,NA,False,4,8,0,NA,NA,NA,,NA,0,,1,talk support,1,influencers,0,,0,,DL,influencers;talk support,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2020-01-16,False,True,False,False,False
10,53,5997543230596064,user153,"Anyone at user10 working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclusion, Diversity, and Equity. We use quant tools to discover the impact and scope of injustices and build solutions to remedy them. https://t.co/UYaOCQ6CCg",2020-01-16T10:35:48.000Z,5997543230596064,NA,False,10,24,0,NA,NA,NA,,NA,0,,1,BC impact,0,,0,,1,advocacy,RR,BC impact;advocacy,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2020-01-16,False,True,False,False,False
