,Pre JMM 2020,JMM 2020,Inter JMM,JMM 2021,Post JMMs
bipoc,0,37,3,105,0
gender,0,173,0,26,0
lgbtq,0,50,0,1,0
talk support,0,389,18,136,2
amplification,4,498,17,105,1
influencers,3,247,22,66,3
representation,3,244,16,13,0
thankful,0,68,9,7,0
emotional support,0,101,1,15,0
BC impact,1,83,18,9,1
SO impact,0,20,13,3,2
hashtags,4,293,41,76,3
indigenous,0,160,2,39,0
advocacy,0,148,5,17,0
CC impact,0,7,0,3,0
SJEDI impact,0,10,0,0,0
belonging,0,30,1,0,1
learning,0,31,0,1,0
virtual participation,0,9,0,0,0
power,0,76,5,105,1
math practice,0,106,18,13,1
strategic planning,2,80,17,0,0
conversation,2,34,13,5,2
humanize,3,123,16,10,1
allyship in math,0,46,1,4,0
math experience,0,21,0,0,0
jmm experience,0,114,0,6,0
futures,0,8,1,0,0
disrupteverything,0,10,2,0,0
economic,0,3,0,0,0
activation,0,7,0,0,0
current events,0,7,11,49,0
celebration,0,0,1,1,0
troll,0,0,2,3,0
beyond,0,0,1,0,0
