,advocacy,amplification,emotional support,gender,indigenous,jmm experience,representation,bipoc,hashtags,influencers,power,talk support,humanize,math practice,current events,lgbtq,strategic planning,allyship in math,math experience,conversation,thankful,BC impact,disrupteverything,SJEDI impact,SO impact,belonging,learning,troll,CC impact,virtual participation,activation,futures,economic,beyond,celebration
mathyadriana,1,6,1,2,1,2,5,2,3,2,1,6,1,2,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
mathprofcarrie,7,69,3,11,14,2,25,11,47,33,16,59,12,9,4,4,17,5,2,20,12,15,2,0,3,4,6,0,2,1,1,1,1,0,0
pwr2dppl,8,51,7,8,12,6,20,12,39,28,15,42,12,11,6,7,15,1,2,6,9,15,0,1,6,5,1,0,2,0,1,0,0,0,0
xl772,2,6,1,1,2,1,6,0,3,4,2,4,1,0,0,0,3,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
WanderingPoint,1,11,3,1,4,2,6,1,8,5,3,10,1,1,2,0,1,1,0,2,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0
LoboWithACause,5,30,2,6,7,2,10,4,16,8,8,23,7,5,1,3,8,3,2,1,6,5,0,0,1,5,0,0,0,1,0,1,0,0,0
qsideinstitute,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
frontLahn,1,3,0,0,0,0,2,0,4,3,1,2,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RachelleDeCoste,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0
monsoon0,1,2,2,3,4,2,1,0,3,2,0,4,0,0,0,0,1,0,0,2,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0
elizabethmunch,1,2,1,2,1,1,2,1,3,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
MarissaKawehi,2,9,1,2,3,1,1,3,4,5,3,8,2,1,2,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
fra_berni,1,4,0,0,0,0,2,0,3,3,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
HthrLynnJ,0,3,0,0,0,0,4,0,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sbagley,9,37,1,4,2,0,6,6,32,31,12,33,13,10,3,10,2,4,1,1,3,4,0,0,0,2,2,0,0,0,0,0,2,0,0
thewordninja_bk,0,1,0,0,0,0,2,0,1,2,0,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
matthematician,1,4,1,2,1,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DrMRLD,1,4,0,1,3,0,1,0,6,3,0,5,0,2,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
