,Sender,Receiver,text,created_at,sourcetweet_text,Self-organization,Building community,Broadening the counterpublic,Creating change in math,SJEDI,bipoc,gender,lgbtq,talk support,amplification,influencers,representation,thankful,emotional support,BC impact,SO impact,hashtags,indigenous,advocacy,CC impact,SJEDI impact,belonging,learning,virtual participation,power,math practice,strategic planning,conversation,humanize,allyship in math,math experience,jmm experience,futures,disrupteverything,economic,activation,current events,celebration,troll,beyond,Pre JMM 2020,JMM 2020,Inter JMM,JMM 2021,Post JMMs
3,user266,user172,user172 user308 user36 Here!!! #disruptJMM you go user308,2020-01-16T17:02:17.000Z,NA,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4,user266,user308,user308 user36 Where and what? - let's get the #disruptJMM folks to support!,2020-01-16T16:53:06.000Z,NA,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,user230,user102,user102 Thank you for sharing this this morning. I was definitely challenged to think about what inclusion means in a different way. I appreciate that challenge and will take it home with me. Thank you for the opportunity to do so. #DisruptJMM,2020-01-16T03:18:23.000Z,NA,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18,user70,user70,I didn’t expect to be facing my own sense of not-belonging so quickly and so deeply in this #DisruptJMM session... user10,2020-01-15T17:17:58.000Z,NA,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22,user216,user216,D&amp;I for the betterment of math without efforts to bring resources and give back to the marginalized communities individuals are coming from perpetuates exploitation: isn’t this another way of taking resources from marginalized communities? - user102 #JMM2020 #DisruptJMM,2020-01-15T16:43:44.000Z,NA,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
23,user355,user355,"Challenge revisited, user102 highlights the metaphor and encourages us to reflect on its implications:
“Welcome individuals from underrepresented and marginalized communities INTO the mathematics community”
#JMM2020 #DisruptJMM https://t.co/iQrDpBwcVL",2020-01-15T16:43:43.000Z,NA,True,True,True,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24,user250,user250,KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI,2020-01-15T16:36:46.000Z,NA,True,True,True,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
32,user216,user216,"Dr Tsinnajinnie (user102  begins quoting user36 s tweet and blog post inviting attendees to #DisruptJMM. Follow the hashtag and join the conversation on justice, equity, diversity, and inclusion (#JEDI). #JMM2020",2020-01-15T16:14:26.000Z,NA,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
37,user212,user36,user36 first citation of user10 in user102 s invited presentation. #DisruptJMM for moving diversity -&gt; anti-oppression. https://t.co/bA4BD1qvIM,2020-01-15T15:59:03.000Z,NA,True,True,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
41,user266,user78,user78 Solidarity - I'm trying to amplify the #disruptJMM so that we can identify spaces of support to disrupt the current system,2020-01-14T22:06:52.000Z,NA,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
42,user266,user266,user250 Hey - old threads are fun to dig up sometimes - you gonna start your #disruptJMM talk this way user212 ? LOL,2020-01-14T22:04:48.000Z,NA,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
46,user266,user250,user250 That sounded like the opening to a great plenary though #disruptjmm,2019-07-02T22:41:10.000Z,NA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
54,user266,user76,user76 Almost on my way...other #DisruptJMM are welcome to join!,2020-01-18T18:37:22.000Z,NA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
61,user75,user75,"Advocate for systemic / institutional change if you are in a position to do so, but also, do the stuff that you immediately can.
#disruptJMM #JMM2020 user10",2020-01-18T16:52:24.000Z,NA,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
62,user75,user75,"Donating your time or money to LGBTQ+ people or causes is a good way to apologize meaningfully.
#disruptJMM #JMM2020 user10",2020-01-18T16:46:35.000Z,NA,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
63,user75,user75,"Waiting for shitty people to retire and/or die doesn't solve any problems for anyone. They're making new transphobes all the time.
#disruptJMM #JMM2020 user10",2020-01-18T16:41:41.000Z,NA,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
64,user75,user75,"But like, own your responsibility to do better, and don't put the labor on trans / nb people to tell you how to do better.
#disruptJMM #JMM2020 user10",2020-01-18T16:34:18.000Z,NA,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
65,user75,user75,"How can allies best handle making mistakes? Know that you're human and give yourself grace. But also, guilt is a useful motivator to do better. Use negative experiences to change yourself for the better. Don't make the same mistake again and again.
#disruptJMM #JMM2020 user10",2020-01-18T16:33:06.000Z,NA,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
66,user75,user75,"Resources we should learn about: Trevor Project, OSTEM, PFLAG ...
#disruptJMM #JMM2020 user10",2020-01-18T16:31:03.000Z,NA,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
67,user75,user75,"There are trans and non-binary students, staff, and faculty across campus. If your solidarity doesn't extend outside of your own classroom, it's not going far enough. 
#disruptJMM #JMM2020 user10",2020-01-18T16:26:54.000Z,NA,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
70,user75,user75,"In every class, there is a culture. If you're not being intentional about what you want the culture to be, then you can end up with something you really don't want. #DisruptJMM #JMM2020 user10",2020-01-18T16:04:28.000Z,NA,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
72,user257,user212,"user212 “Privilege makes all of the structures and efforts needed to keep itself in place invisible ... at least from the privileged perspective.” #disruptJMM Thanks, Brian, for such a great talk.",2020-01-18T15:56:24.000Z,NA,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
73,user75,user75,"""I know a lot of mediocre white men in academia. There should thus be allowed to be a lot of mediocre people of color in academia."" #JMM2020 #DisruptJMM user10",2020-01-18T15:55:39.000Z,NA,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
74,user257,user212,"user212 “Everyone, student and professional, should experience critical inquiry” #disruptJMM",2020-01-18T15:53:01.000Z,NA,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
75,user75,user75,Of course math has disciplinary worldviews. How could it not? Our collective failure to identify and interrogate our assumptions and worldviews is one of our greatest disciplinary failures. #JMM2020 #disruptJMM user10 https://t.co/D1ZiaGHz1i,2020-01-18T15:51:45.000Z,NA,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
77,user75,user75,Here's your reading list for when you go home and work on learning more. #disruptJMM #JMM2020 user10 https://t.co/5CkDrrXRnW,2020-01-18T15:48:28.000Z,NA,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
