,Sender,Receiver,text,created_at,Self-organization,Building community,Broadening the counterpublic,Creating change in math,SJEDI,bipoc,gender,lgbtq,talk support,amplification,influencers,representation,thankful,emotional support,BC impact,SO impact,hashtags,indigenous,advocacy,CC impact,SJEDI impact,belonging,learning,virtual participation,power,math practice,strategic planning,conversation,humanize,allyship in math,math experience,jmm experience,futures,disrupteverything,economic,activation,current events,celebration,troll,beyond,Pre JMM 2020,JMM 2020,Inter JMM,JMM 2021,Post JMMs
1,mathprofcarrie,xl772,"""If you think that your right to speech is more important than another human's worth and dignity, then you might want to rethink your stance."" @xl772 on diversity statement editorial letters. #disruptJMM @JointMath #JMM2020 

So proud of my community!!!",2020-01-16T17:08:04.000Z,1,1,1,0,1,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,mathprofcarrie,JointMath,"""If you think that your right to speech is more important than another human's worth and dignity, then you might want to rethink your stance."" @xl772 on diversity statement editorial letters. #disruptJMM @JointMath #JMM2020 

So proud of my community!!!",2020-01-16T17:08:04.000Z,1,1,1,0,1,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,pwr2dppl,xl772,I ran at elevation to make it to @xl772's #DisruptJMM moment in her talk and it was well worth it but now I'm dead.,2020-01-16T17:05:46.000Z,1,1,0,0,0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,mathprofcarrie,xl772,@WanderingPoint @xl772 @pwr2dppl Here!!! #disruptJMM you go @xl772,2020-01-16T17:02:17.000Z,0,1,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,mathprofcarrie,pwr2dppl,@WanderingPoint @xl772 @pwr2dppl Here!!! #disruptJMM you go @xl772,2020-01-16T17:02:17.000Z,0,1,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,mathprofcarrie,xl772,@WanderingPoint @xl772 @pwr2dppl Here!!! #disruptJMM you go @xl772,2020-01-16T17:02:17.000Z,0,1,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4,mathprofcarrie,pwr2dppl,@xl772 @pwr2dppl Where and what? - let's get the #disruptJMM folks to support!,2020-01-16T16:53:06.000Z,0,1,0,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5,xl772,pwr2dppl,"I’m about to #DisruptJMM in a very small way at the beginning of my talk and I’m so nervous. I’m mildly nauseous and sweating...

We have to thank @pwr2dppl and others who put their selves and their bodies on the line to work to further justice in math. It’s incredibly difficult.",2020-01-16T16:46:36.000Z,1,1,1,0,0,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9,mathprofcarrie,JointMath,"My Calling Bull (with R) talk will be TODAY (Thursday), 6:00 p.m.-6:50 p.m at the SIGMAA on Quantitative Literacy (SIGMAA QL) Meeting in Room 501 CCC. @JointMath #JointMath
https://t.co/ECkhd7j6Oi #DisruptJMM",2020-01-16T11:21:59.000Z,0,1,1,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
10,qsideinstitute,JointMath,"Anyone at @JointMath working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclusion, Diversity, and Equity. We use quant tools to discover the impact and scope of injustices and build solutions to remedy them. https://t.co/UYaOCQ6CCg",2020-01-16T10:35:48.000Z,0,1,0,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
12,pwr2dppl,CengageLearning,Another Cengage email!! Omg is @CengageLearning at #JMM2020 ?? Can we #DisruptJMM by glaring at Cengage until they UNSUBSCRIBE ME as I have repeatedly and formally requested??,2020-01-16T05:07:22.000Z,0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
14,mathprofcarrie,mathyadriana,#DisruptJMM is doing a flash hangout dinner at Stout Street Social at 6. Come hang out. @mathyadriana @kenandoesmath @VictorPiercey1 et al,2020-01-16T00:33:00.000Z,0,1,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
14,mathprofcarrie,kenandoesmath,#DisruptJMM is doing a flash hangout dinner at Stout Street Social at 6. Come hang out. @mathyadriana @kenandoesmath @VictorPiercey1 et al,2020-01-16T00:33:00.000Z,0,1,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
14,mathprofcarrie,VictorPiercey1,#DisruptJMM is doing a flash hangout dinner at Stout Street Social at 6. Come hang out. @mathyadriana @kenandoesmath @VictorPiercey1 et al,2020-01-16T00:33:00.000Z,0,1,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
16,pwr2dppl,LoboWithACause,"What @LoboWithACause said this morning was so important and interesting and I almost napped instead, but I will need to nap before I can say my takeaway. #DisruptJMM #JMM2020",2020-01-15T17:25:37.000Z,0,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18,monsoon0,JointMath,I didn’t expect to be facing my own sense of not-belonging so quickly and so deeply in this #DisruptJMM session... @JointMath,2020-01-15T17:17:58.000Z,0,1,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
19,elizabethmunch,JointMath,"Here we come, @JointMath! #awkwardboardingselfie #disruptJMM https://t.co/3rNmRs0M8S",2020-01-15T17:14:18.000Z,0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
