"","tweet_id","word"
"1","id 0","anyone"
"2","id 0","feel"
"3","id 0","like"
"4","id 0","looking"
"5","id 0","list"
"6","id 0","invited"
"7","id 0","talks"
"8","id 0","#jmm2020"
"9","id 0","see"
"10","id 0","#nonmen"
"11","id 0","lgbtq"
"12","id 0","poc"
"13","id 0","giving"
"14","id 0","help"
"15","id 0","#disruptjmm"
"16","id 0","bit"
"17","id 0","talk"
"18","id 0","sure"
"19","id 0","time"
"20","id 1",""
"21","id 1","think"
"22","id 1","right"
"23","id 1","speech"
"24","id 1","important"
"25","id 1","another"
"26","id 1","human's"
"27","id 1","worth"
"28","id 1","dignity"
"29","id 1","might"
"30","id 1","want"
"31","id 1","rethink"
"32","id 1","stance"
"33","id 1","user308"
"34","id 1","diversity"
"35","id 1","statement"
"36","id 1","editorial"
"37","id 1","letters"
"38","id 1","#disruptjmm"
"39","id 1","user10"
"40","id 1","#jmm2020"
"41","id 1","proud"
"42","id 1","community"
"43","id 2",""
"44","id 2","ran"
"45","id 2","elevation"
"46","id 2","make"
"47","id 2","user308"
"48","id 2","s"
"49","id 2","#disruptjmm"
"50","id 2","moment"
"51","id 2","talk"
"52","id 2","well"
"53","id 2","worth"
"54","id 2","now"
"55","id 2","'m"
"56","id 2","dead"
"57","id 3","user172"
"58","id 3","user308"
"59","id 3","user36"
"60","id 3","#disruptjmm"
"61","id 3","go"
"62","id 3","user308"
"63","id 4","user308"
"64","id 4","user36"
"65","id 4","-"
"66","id 4","get"
"67","id 4","#disruptjmm"
"68","id 4","folks"
"69","id 4","support"
"70","id 5","’m"
"71","id 5","#disruptjmm"
"72","id 5","small"
"73","id 5","way"
"74","id 5","beginning"
"75","id 5","talk"
"76","id 5","’m"
"77","id 5","nervous"
"78","id 5","’m"
"79","id 5","mildly"
"80","id 5","nauseous"
"81","id 5","sweating"
"82","id 5","thank"
"83","id 5","user36"
"84","id 5","others"
"85","id 5","put"
"86","id 5","selves"
"87","id 5","bodies"
"88","id 5","line"
"89","id 5","work"
"90","id 5","justice"
"91","id 5","math"
"92","id 5","’s"
"93","id 5","incredibly"
"94","id 5","difficult"
"95","id 6","emerald"
"96","id 6","stacy"
"97","id 6","starts"
"98","id 6","land"
"99","id 6","acknowledgment"
"100","id 6","fact"
"101","id 6","8"
"102","id 6","11270"
"103","id 6","math"
"104","id 6","&amp;"
"105","id 6","stats"
"106","id 6","phd’s"
"107","id 6","awarded"
"108","id 6","people"
"109","id 6","identify"
"110","id 6","american"
"111","id 6","indian"
"112","id 6","alaska"
"113","id 6","native"
"114","id 6","#jmm2020"
"115","id 6","#disruptjmm"
"116","id 6","https:tcowxcxborag3"
"117","id 7","’m"
"118","id 7","sorry"
"119","id 7","miss"
"120","id 7","days"
"121","id 7","visiting"
"122","id 7","events"
"123","id 7","#disruptjmm"
"124","id 7","need"
"125","id 7","get"
"126","id 7","back"
"127","id 7","meetings"
"128","id 7","family"
"129","id 7","thank"
"130","id 7","great"
"131","id 7","experience"
"132","id 7","#awkwardboardingselfie"
"133","id 7","maybe"
"134","id 7","mural"
"135","id 7","den"
"136","id 7","counts"
"137","id 7","denver"
"138","id 7","selfie"
"139","id 7","#noticeandwonder"
"140","id 7","#jmm2020"
"141","id 7","https:tco6hapfhhclt"
"142","id 8","seriosly"
"143","id 8","taking"
"144","id 8","pictures"
"145","id 8","accurately"
"146","id 8","succinctly"
"147","id 8","summarizing"
"148","id 8","important"
"149","id 8","key"
"150","id 8","points"
"151","id 8","appropriate"
"152","id 8","tags"
"153","id 8","task"
"154","id 8","takes"
"155","id 8","amazing"
"156","id 8","skill"
"157","id 8","love"
"158","id 8","thank"
"159","id 8","much"
"160","id 8","session"
"161","id 8","everyone"
"162","id 8","live"
"163","id 8","tweets"
"164","id 8","academic"
"165","id 8","talks"
"166","id 8","#jmm2020"
"167","id 8","#disruptjmm"
"168","id 8","https:tco90hoq3ozef"
"169","id 9",""
"170","id 9","calling"
"171","id 9","bull"
"172","id 9","r"
"173","id 9","talk"
"174","id 9","today"
"175","id 9","thursday"
"176","id 9","6:00"
"177","id 9","pm-6:50"
"178","id 9","pm"
"179","id 9","sigmaa"
"180","id 9","quantitative"
"181","id 9","literacy"
"182","id 9","sigmaa"
"183","id 9","ql"
"184","id 9","meeting"
"185","id 9","room"
"186","id 9","501"
"187","id 9","ccc"
"188","id 9","user10"
"189","id 9","#jointmath"
"190","id 9","https:tcoeckhd7j6oi"
"191","id 9","#disruptjmm"
"192","id 10","anyone"
"193","id 10","user10"
"194","id 10","working"
"195","id 10","#disruptjmm:"
"196","id 10","become"
"197","id 10","free"
"198","id 10","member"
"199","id 10","institute"
"200","id 10","quantitative"
"201","id 10","study"
"202","id 10","inclusion"
"203","id 10","diversity"
"204","id 10","equity"
"205","id 10","use"
"206","id 10","quant"
"207","id 10","tools"
"208","id 10","discover"
"209","id 10","impact"
"210","id 10","scope"
"211","id 10","injustices"
"212","id 10","build"
"213","id 10","solutions"
"214","id 10","remedy"
"215","id 10","https:tcouyaocq6ccg"
"216","id 11",""
"217","id 11","'re"
"218","id 11","#jmm2020"
"219","id 11","come"
"220","id 11","panel"
"221","id 11","supporting"
"222","id 11","trans"
"223","id 11","non-binary"
"224","id 11","math"
"225","id 11","students"
"226","id 11","saturday"
"227","id 11","morning"
"228","id 11","#disruptjmm"
"229","id 11","https:tcoaoluzvlvqp"
"230","id 12","another"
"231","id 12","cengage"
"232","id 12","email"
"233","id 12","omg"
"234","id 12","user173"
"235","id 12","#jmm2020"
"236","id 12","can"
"237","id 12","#disruptjmm"
"238","id 12","glaring"
"239","id 12","cengage"
"240","id 12","unsubscribe"
"241","id 12","repeatedly"
"242","id 12","formally"
"243","id 12","requested"
"244","id 13","user102"
"245","id 13","thank"
"246","id 13","sharing"
"247","id 13","morning"
"248","id 13","definitely"
"249","id 13","challenged"
"250","id 13","think"
"251","id 13","inclusion"
"252","id 13","means"
"253","id 13","different"
"254","id 13","way"
"255","id 13","appreciate"
"256","id 13","challenge"
"257","id 13","take"
"258","id 13","home"
"259","id 13","thank"
"260","id 13","opportunity"
"261","id 13","#disruptjmm"
"262","id 14","#disruptjmm"
"263","id 14","flash"
"264","id 14","hangout"
"265","id 14","dinner"
"266","id 14","stout"
"267","id 14","street"
"268","id 14","social"
"269","id 14","6"
"270","id 14","come"
"271","id 14","hang"
"272","id 14","user250"
"273","id 14","user279"
"274","id 14","user76"
"275","id 14","et"
"276","id 14","al"
"277","id 15",""
"278","id 15","#disruptjmm"
"279","id 15","ppl"
"280","id 15","wanna"
"281","id 15","hang"
"282","id 15","rn"
"283","id 16",""
"284","id 16","user102"
"285","id 16","said"
"286","id 16","morning"
"287","id 16","important"
"288","id 16","interesting"
"289","id 16","almost"
"290","id 16","napped"
"291","id 16","instead"
"292","id 16","need"
"293","id 16","nap"
"294","id 16","can"
"295","id 16","say"
"296","id 16","takeaway"
"297","id 16","#disruptjmm"
"298","id 16","#jmm2020"
"299","id 17","thank"
"300","id 17","organizing"
"301","id 17","many"
"302","id 17","important"
"303","id 17","points"
"304","id 17","made"
"305","id 17","many"
"306","id 17","things"
"307","id 17","think"
"308","id 17","#disruptjmm"
"309","id 17","https:tcol0zfmsjlb6"
"310","id 18",""
"311","id 18","didn’t"
"312","id 18","expect"
"313","id 18","facing"
"314","id 18","sense"
"315","id 18","-belonging"
"316","id 18","quickly"
"317","id 18","deeply"
"318","id 18","#disruptjmm"
"319","id 18","session"
"320","id 18","user10"
"321","id 19",""
"322","id 19","come"
"323","id 19","user10"
"324","id 19","#awkwardboardingselfie"
"325","id 19","#disruptjmm"
"326","id 19","https:tco3rnmrs0m8s"
"327","id 20",""
"328","id 20","happy"
"329","id 20","folks"
