self organization,building community,broadening the counterpublic,creating change in math,SJEDI
amplification,thankful,disrupteverything,humanize,representation
activation,talk support,influencers,jmm experience,lgbtq
strategic planning,belonging,beyond,math experience,bipoc
SO impact,emotional support,hashtags,futures,gender
troll,expertise support,virtual participation,math practice,indigenous
,conversation,,current events,power
,celebration,,allyship in math,advocacy
,BC impact,,CC impact,learning
,,,,economic
,,,,SJEDI impact
