,text
0,"Anyone feel like looking through the list of invited talks at #JMM2020 and see the # of nonmen, lgbtq, and poc giving these? It will help with my #disruptJMM bit in my talk, but not sure i have time!"
1,"""If you think that your right to speech is more important than another human's worth and dignity, then you might want to rethink your stance."" user308 on diversity statement editorial letters. #disruptJMM user10 #JMM2020 

So proud of my community!!!"
2,I ran at elevation to make it to user308 s #DisruptJMM moment in her talk and it was well worth it but now I'm dead.
3,user172 user308 user36 Here!!! #disruptJMM you go user308
4,user308 user36 Where and what? - let's get the #disruptJMM folks to support!
5,"I’m about to #DisruptJMM in a very small way at the beginning of my talk and I’m so nervous. I’m mildly nauseous and sweating...

We have to thank user36 and others who put their selves and their bodies on the line to work to further justice in math. It’s incredibly difficult."
6,"Emerald Stacy starts with a land acknowledgment and the fact that 8 out of 11,270 math &amp; stats PhD’s were awarded to people who identify as “American Indian or Alaska Native” #JMM2020 #disruptJMM https://t.co/wXcxBorAG3"
7,I’m sorry to miss more days of visiting and events at #DisruptJMM but I need to get back to meetings and family. Thank you all for a great experience! No #AwkwardBoardingSelfie but maybe this mural at DEN counts as a Denver selfie. What do you #NoticeAndWonder? #JMM2020 https://t.co/6HApFHHCLT
8,"Seriosly, taking pictures while accurately and succinctly summarizing important and key points with appropriate tags is task that takes amazing skill and love! Thank you all so much not only for my session, but for everyone who live tweets academic talks! #JMM2020 #DisruptJMM https://t.co/90hOQ3ozEf"
9,"My Calling Bull (with R) talk will be TODAY (Thursday), 6:00 p.m.-6:50 p.m at the SIGMAA on Quantitative Literacy (SIGMAA QL) Meeting in Room 501 CCC. user10 #JointMath
https://t.co/ECkhd7j6Oi #DisruptJMM"
10,"Anyone at user10 working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclusion, Diversity, and Equity. We use quant tools to discover the impact and scope of injustices and build solutions to remedy them. https://t.co/UYaOCQ6CCg"
11,"If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM https://t.co/aoLUzVLVqp"
12,Another Cengage email!! Omg is user173 at #JMM2020 ?? Can we #DisruptJMM by glaring at Cengage until they UNSUBSCRIBE ME as I have repeatedly and formally requested??
13,user102 Thank you for sharing this this morning. I was definitely challenged to think about what inclusion means in a different way. I appreciate that challenge and will take it home with me. Thank you for the opportunity to do so. #DisruptJMM
14,#DisruptJMM is doing a flash hangout dinner at Stout Street Social at 6. Come hang out. user250 user279 user76 et al
15,Any #DisruptJMM ppl wanna hang out rn
16,"What user102 said this morning was so important and interesting and I almost napped instead, but I will need to nap before I can say my takeaway. #DisruptJMM #JMM2020"
17,Thank you for organizing this. There were so many important points made and I have many things to think about. #disruptjmm https://t.co/l0zFMsjLb6
18,I didn’t expect to be facing my own sense of not-belonging so quickly and so deeply in this #DisruptJMM session... user10
19,"Here we come, user10  #awkwardboardingselfie #disruptJMM https://t.co/3rNmRs0M8S"
20,Very happy for folks like user250 user70 user212 user36 user216 and others for live tweeting user102 s talk at #JMM! Thanks everyone and please keep sharing the #DisruptJMM content for all of us who aren't there!!!
21,"Yo, user102 is delivering 🔥 and 🗡️ but in a voice that sounds like 🕊️ #JMM2020 #DisruptJMM"
22,D&amp;I for the betterment of math without efforts to bring resources and give back to the marginalized communities individuals are coming from perpetuates exploitation: isn’t this another way of taking resources from marginalized communities? - user102 #JMM2020 #DisruptJMM
23,"Challenge revisited, user102 highlights the metaphor and encourages us to reflect on its implications:
“Welcome individuals from underrepresented and marginalized communities INTO the mathematics community”
#JMM2020 #DisruptJMM https://t.co/iQrDpBwcVL"
24,KEY things for us to think about. #JMM2020 #disruptjmm user102 https://t.co/8eQFusG2UI
25,#DisruptJMM what does it mean when we say that we need to welcome marginalized communities into our community? The subtext is that they are not already part of the community...user102 #JMM2020
26,"To what extent are we using diversity to get more workforce, which is still about  assimilation and exploitation and still promoting an elite western epistemology? user102 #DisruptJMM #JMM2020"
27,#DisruptJMM user102 explores what it's like when your mathematics job opportunities are with institutions/companies that have historically been involved in oppression. #JMM2020
28,Higher education and indigenous communities has always been about exploitation. #disruptJMM #JMM2020 https://t.co/WzZEyxUVWM
29,Important message/reminder from user102 that loss of language is not some kind of natural occurrence. Loss of indigenous languages comes with stories of violence and trauma. #JMM2020 #DisruptJMM #JEDI #DiversityandInclusion #DiversityOrElse
30,"Diversity as a paradigm is one more way to center, privilege, and benefit whiteness. #DisruptJMM https://t.co/uytwIWE3gc https://t.co/ZXWGg62mDo"
31,"A challenge from user102 to consider “why” diversity and inclusion.
Reference to a blog post from user152 
#disruptJMM #JMM2020 
https://t.co/LiFa4hTULO https://t.co/Eu4h7NHiRE"
32,"Dr Tsinnajinnie (user102  begins quoting user36 s tweet and blog post inviting attendees to #DisruptJMM. Follow the hashtag and join the conversation on justice, equity, diversity, and inclusion (#JEDI). #JMM2020"
33,"#disruptJMM Why do we engage in equity, inclusion, and diversity initiatives? Who really benefits?"
34,"So, why do we care about diversity and inclusion? user102 invites us to answer these questions. #JMM2020 #disruptjmm https://t.co/5tBL3t10JO"
35,"The awesome user266 introduces user102 , with a call to acknowledge the stolen lands we’re on and to #disruptjmm (shout out to user36 ) https://t.co/I4QVjfufDF"
36,My first session at #JMM2020 has a proud tweet-banner by user36 I am so looking forward to #DisruptJMM and to hearing user102 amongst many others at this MAA-SIAM-AMS Hrabowski-Gates-Tapia-McBay session. https://t.co/57JfBaAbMx
37,user36 first citation of user10 in user102 s invited presentation. #DisruptJMM for moving diversity -&gt; anti-oppression. https://t.co/bA4BD1qvIM
38,Opening slide for user102 talk at #JMM2020 #disruptJMM https://t.co/Es3oySfstA
39,"Why #DisruptJMM ? Because this. We don't just need to show the 🦈🦈🦈 we disagree, we gotta show the 🐟🐠🐡 that they belong and are wanted.

#JMM2020 #DiversityOrElse https://t.co/BkRtE7osp7"
40,#AwkwardBoardingSelfie On my way to #JMM2020 and sharing a flight with Coach Paul Weir and the rest of the user273 team. My handle indicates that I’ll be cheering them on while I support #disruptJMM. https://t.co/qW6xp5J92Q
41,user78 Solidarity - I'm trying to amplify the #disruptJMM so that we can identify spaces of support to disrupt the current system
42,user250 Hey - old threads are fun to dig up sometimes - you gonna start your #disruptJMM talk this way user212 ? LOL
43,"okay, BS slides done. I think. I counted at least 5 #disruptJMM Thursday!!!!!!"
